2025-08-18 12:20:30 | __main__ | INFO | Very late prediction generated: 0
2025-08-18 12:20:30 | __main__ | INFO | Received request to /predict_very_late endpoint
2025-08-18 12:20:30 | __main__ | INFO | Very late prediction generated: 0
2025-08-18 12:20:33 | __main__ | INFO | Received request to /predict_very_late endpoint
2025-08-18 12:20:33 | __main__ | INFO | Very late prediction generated: 0
2025-08-18 12:20:39 | __main__ | INFO | Received request to /predict_both endpoint
2025-08-18 12:20:39 | __main__ | INFO | Both predictions generated - Late: 0, Very Late: 0
2025-08-18 12:23:09 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 12:23:09 | __main__ | INFO | Late prediction generated: 0
2025-08-18 12:23:10 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 12:23:10 | __main__ | INFO | Late prediction generated: 0
2025-08-18 12:23:10 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 12:23:10 | __main__ | INFO | Late prediction generated: 0
2025-08-18 12:23:21 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:23:21 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:29:26 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:29:26 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:29:36 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:29:36 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:31:34 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:31:34 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:34:12 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:34:12 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:34:31 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:34:31 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:35:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:35:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:48:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:48:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:49:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:49:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:14 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:14 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:27 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:28 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:38 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 12:50:38 | __main__ | INFO | Late prediction generated: 0
2025-08-18 12:50:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:50:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:07 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:07 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:17 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:18 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:43 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:51:43 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:52:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:52:23 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:53:12 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 12:53:12 | __main__ | INFO | Late prediction generated: 0
2025-08-18 12:57:09 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:57:09 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:57:33 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 12:57:33 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:00:09 | __main__ | INFO | Received request to /predict_late endpoint
2025-08-18 13:00:09 | __main__ | INFO | Late prediction generated: 0
2025-08-18 13:03:32 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:03:32 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:03:59 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:03:59 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:04:24 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:04:24 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:21 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:21 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:33 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:33 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:46 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:05:46 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:06:53 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:06:53 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:11 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:11 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:24 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:24 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:07:45 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:08:07 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:08:08 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:17:00 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 13:17:05 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 14:42:52 | __main__ | INFO | All models and preprocessors loaded successfully
2025-08-18 14:42:58 | __main__ | INFO | All models and preprocessors loaded successfully
